id,document_id,user_id,"created_at","updated_at"
340,340,103,"2017-06-21 00:20:14","2017-06-21 00:20:14"
341,341,3,"2017-06-21 15:15:32","2017-06-21 15:15:32"
342,342,117,"2017-06-21 17:25:38","2017-06-21 17:25:38"
343,343,117,"2017-06-21 18:06:18","2017-06-21 18:06:18"
344,344,117,"2017-06-21 18:09:49","2017-06-21 18:09:49"
345,345,103,"2017-06-21 19:09:04","2017-06-21 19:09:04"
346,346,103,"2017-06-21 20:50:17","2017-06-21 20:50:17"
347,347,103,"2017-06-21 20:50:17","2017-06-21 20:50:17"
348,348,117,"2017-06-22 13:45:14","2017-06-22 13:45:14"
349,349,117,"2017-06-22 14:05:01","2017-06-22 14:05:01"
350,350,3,"2017-06-22 15:14:56","2017-06-22 15:14:56"
351,351,3,"2017-06-22 15:17:21","2017-06-22 15:17:21"
352,352,117,"2017-06-22 17:24:16","2017-06-22 17:24:16"
353,353,9,"2017-06-22 21:43:34","2017-06-22 21:43:34"
354,354,3,"2017-06-23 18:14:34","2017-06-23 18:14:34"
355,355,121,"2017-06-24 17:06:25","2017-06-24 17:06:25"
356,356,121,"2017-06-24 17:42:15","2017-06-24 17:42:15"
357,357,7,"2017-06-24 19:38:05","2017-06-24 19:38:05"
358,358,98,"2017-06-26 15:38:01","2017-06-26 15:38:01"
359,359,9,"2017-06-26 15:42:06","2017-06-26 15:42:06"
360,360,98,"2017-06-26 15:42:24","2017-06-26 15:42:24"
361,361,98,"2017-06-26 15:42:24","2017-06-26 15:42:24"
362,362,98,"2017-06-26 15:45:18","2017-06-26 15:45:18"
363,363,98,"2017-06-26 15:45:18","2017-06-26 15:45:18"
364,364,98,"2017-06-26 15:45:45","2017-06-26 15:45:45"
365,365,98,"2017-06-26 15:45:45","2017-06-26 15:45:45"
366,366,98,"2017-06-26 15:45:47","2017-06-26 15:45:47"
367,367,98,"2017-06-26 15:45:47","2017-06-26 15:45:47"
368,368,98,"2017-06-26 16:28:11","2017-06-26 16:28:11"
369,369,28,"2017-06-27 16:02:16","2017-06-27 16:02:16"
370,370,28,"2017-06-27 17:08:15","2017-06-27 17:08:15"
371,371,31,"2017-06-27 17:49:59","2017-06-27 17:49:59"
372,372,31,"2017-06-27 17:56:22","2017-06-27 17:56:22"
373,373,136,"2017-06-28 16:34:48","2017-06-28 16:34:48"
374,374,30,"2017-06-28 16:53:37","2017-06-28 16:53:37"
375,375,31,"2017-06-28 17:15:34","2017-06-28 17:15:34"
